"","Ingredient","Parameter","As.fed","Unit"
"312","fish-oil-herring","Starch",0,"%"
"313","fish-oil-herring","Total sugars",0,"%"
"314","fish-oil-herring","Mineral_percentage",0,"%"
"315","fish-oil-herring","Phosp_percentage",0,"%"
"316","fish-oil-capelin","Dry matter",100,"%"
"317","fish-oil-capelin","Crude protein",0,"%"
"318","fish-oil-capelin","Crude fibre",0,"%"
"319","fish-oil-capelin","Crude fat",100,"%"
"320","fish-oil-capelin","Ash",0,"%"
"321","fish-oil-capelin","Starch",0,"%"
"322","fish-oil-capelin","Total sugars",0,"%"
"323","fish-oil-capelin","Mineral_percentage",0,"%"
"324","fish-oil-capelin","Phosp_percentage",0,"%"
"325","fish-oil-sardine","Dry matter",100,"%"
"326","fish-oil-sardine","Crude protein",0,"%"
"327","fish-oil-sardine","Crude fibre",0,"%"
"328","fish-oil-sardine","Crude fat",100,"%"
"329","fish-oil-sardine","Ash",0,"%"
"330","fish-oil-sardine","Starch",0,"%"
"331","fish-oil-sardine","Total sugars",0,"%"
"332","fish-oil-sardine","Mineral_percentage",0,"%"
"333","fish-oil-sardine","Phosp_percentage",0,"%"
"334","wheat-gluten","Dry matter",94,"%"
"335","wheat-gluten","Crude protein",79.8,"%"
"336","wheat-gluten","Crude fibre",0.7,"%"
"337","wheat-gluten","Crude fat",1.6,"%"
"338","wheat-gluten","Ash",0.9,"%"
"339","wheat-gluten","Starch",5.4,"%"
"340","wheat-gluten","Total sugars",2.9,"%"
"341","wheat-gluten","Mineral_percentage",1.101,"%"
"342","wheat-gluten","Phosp_percentage",0.22,"%"
"343","soybean-protein-concentrate-protein-70-90","Dry matter",92.7,"%"
"344","soybean-protein-concentrate-protein-70-90","Crude protein",78.3,"%"
"345","soybean-protein-concentrate-protein-70-90","Crude fibre",1.2,"%"
"346","soybean-protein-concentrate-protein-70-90","Crude fat",2.3,"%"
"347","soybean-protein-concentrate-protein-70-90","Ash",4.3,"%"
"348","soybean-protein-concentrate-protein-70-90","Starch",4.6,"%"
"349","soybean-protein-concentrate-protein-70-90","Total sugars",0.8,"%"
"350","soybean-protein-concentrate-protein-70-90","Mineral_percentage",2.753311,"%"
"351","soybean-protein-concentrate-protein-70-90","Phosp_percentage",0.85,"%"
"352","feather-meal","Dry matter",92,"%"
"353","feather-meal","Crude protein",78.9,"%"
"354","feather-meal","Crude fibre",1.3,"%"
"355","feather-meal","Crude fat",8.5,"%"
"356","feather-meal","Ash",5.1,"%"
"357","feather-meal","Starch",0,"%"
"358","feather-meal","Total sugars",0.3,"%"
"359","feather-meal","Mineral_percentage",4.18562,"%"
"360","feather-meal","Phosp_percentage",0.77,"%"
"361","Tallow","Dry matter",100,"%"
"362","Tallow","Crude protein",0,"%"
"363","Tallow","Crude fibre",0,"%"
"364","Tallow","Crude fat",100,"%"
"365","Tallow","Ash",0,"%"
"366","Tallow","Starch",0,"%"
"367","Tallow","Total sugars",0,"%"
"368","Tallow","Mineral_percentage",0,"%"
"369","Tallow","Phosp_percentage",0,"%"
"370","processed-animal-proteins-poultry-protein-70","Dry matter",93.5,"%"
"371","processed-animal-proteins-poultry-protein-70","Crude protein",76.9,"%"
"372","processed-animal-proteins-poultry-protein-70","Crude fibre",1.2,"%"
"373","processed-animal-proteins-poultry-protein-70","Crude fat",11.3,"%"
"374","processed-animal-proteins-poultry-protein-70","Ash",5.1,"%"
"375","processed-animal-proteins-poultry-protein-70","Starch",0,"%"
"376","processed-animal-proteins-poultry-protein-70","Total sugars",0,"%"
"377","processed-animal-proteins-poultry-protein-70","Mineral_percentage",3.68165,"%"
"378","processed-animal-proteins-poultry-protein-70","Phosp_percentage",0.59,"%"
"379","Poultry-fat","Dry matter",100,"%"
"380","Poultry-fat","Crude protein",0,"%"
"381","Poultry-fat","Crude fibre",0,"%"
"382","Poultry-fat","Crude fat",100,"%"
"383","Poultry-fat","Ash",0,"%"
"384","Poultry-fat","Starch",0,"%"
"385","Poultry-fat","Total sugars",0,"%"
"386","Poultry-fat","Mineral_percentage",0,"%"
"387","Poultry-fat","Phosp_percentage",0,"%"
"388","Potato-protein-concentrate","Dry matter",91.8,"%"
"389","Potato-protein-concentrate","Crude protein",77.2,"%"
"390","Potato-protein-concentrate","Crude fibre",0.8,"%"
"391","Potato-protein-concentrate","Crude fat",0.6,"%"
"392","Potato-protein-concentrate","Ash",2.4,"%"
"393","Potato-protein-concentrate","Starch",0.03,"%"
"394","Potato-protein-concentrate","Total sugars",0.4,"%"
"395","Potato-protein-concentrate","Mineral_percentage",1.991003,"%"
"396","Potato-protein-concentrate","Phosp_percentage",0.47,"%"
"397","Pea-protein-concentrate","Dry matter",93.2,"%"
"398","Pea-protein-concentrate","Crude protein",78,"%"
"399","Pea-protein-concentrate","Crude fibre",0.3,"%"
"400","Pea-protein-concentrate","Crude fat",4.4,"%"
"401","Pea-protein-concentrate","Ash",4,"%"
"402","Pea-protein-concentrate","Starch",0.4,"%"
"403","Pea-protein-concentrate","Total sugars",2,"%"
"404","Pea-protein-concentrate","Mineral_percentage",2.40014,"%"
"405","Pea-protein-concentrate","Phosp_percentage",0.67,"%"
"406","wheat-flour-gruau-d-durum","Dry matter",86.6,"%"
"407","wheat-flour-gruau-d-durum","Crude protein",16.1,"%"
"408","wheat-flour-gruau-d-durum","Crude fibre",1.1,"%"
"409","wheat-flour-gruau-d-durum","Crude fat",3.3,"%"
"410","wheat-flour-gruau-d-durum","Ash",2.3,"%"
"411","wheat-flour-gruau-d-durum","Starch",54.6,"%"
"412","wheat-flour-gruau-d-durum","Total sugars",5.1,"%"
"413","wheat-flour-gruau-d-durum","Mineral_percentage",2.099411,"%"
"414","wheat-flour-gruau-d-durum","Phosp_percentage",0.95,"%"
"415","Blood-meal","Dry matter",93.4,"%"
"416","Blood-meal","Crude protein",87.7,"%"
"417","Blood-meal","Crude fibre",1.4,"%"
"418","Blood-meal","Crude fat",1.9,"%"
"419","Blood-meal","Ash",3.1,"%"
"420","Blood-meal","Starch",0,"%"
"421","Blood-meal","Total sugars",0,"%"
"422","Blood-meal","Mineral_percentage",2.69062,"%"
"423","Blood-meal","Phosp_percentage",0.21,"%"
"424","rapeseed-oil","Dry matter",99.9,"%"
"425","rapeseed-oil","Crude protein",0,"%"
"426","rapeseed-oil","Crude fibre",0,"%"
"427","rapeseed-oil","Crude fat",99.6,"%"
"428","rapeseed-oil","Ash",0.2,"%"
"429","rapeseed-oil","Starch",0,"%"
"430","rapeseed-oil","Total sugars",0,"%"
"431","rapeseed-oil","Mineral_percentage",5.5e-05,"%"
"432","rapeseed-oil","Phosp_percentage",0,"%"
"433","maize-starch","Dry matter",88.2,"%"
"434","maize-starch","Crude protein",0.7,"%"
"435","maize-starch","Crude fibre",0.2,"%"
"436","maize-starch","Crude fat",0.4,"%"
"437","maize-starch","Ash",0.2,"%"
"438","maize-starch","Starch",83.8,"%"
"439","maize-starch","Total sugars",0,"%"
"440","maize-starch","Mineral_percentage",0.177643,"%"
"441","maize-starch","Phosp_percentage",0.03,"%"
"442","wheat-feed-flour","Dry matter",87.6,"%"
"443","wheat-feed-flour","Crude protein",13.3,"%"
"444","wheat-feed-flour","Crude fibre",1,"%"
"445","wheat-feed-flour","Crude fat",2.4,"%"
"446","wheat-feed-flour","Ash",1.5,"%"
"447","wheat-feed-flour","Starch",61.1,"%"
"448","wheat-feed-flour","Total sugars",4.9,"%"
"449","wheat-feed-flour","Mineral_percentage",1.686927,"%"
"450","wheat-feed-flour","Phosp_percentage",0.69,"%"
"451","DL-methionine","Dry matter",99.5,"%"
"452","DL-methionine","Crude protein",58.4,"%"
"453","DL-methionine","Crude fibre",0,"%"
"454","DL-methionine","Crude fat",0,"%"
"455","DL-methionine","Ash",0,"%"
"456","DL-methionine","Starch",0,"%"
"457","DL-methionine","Total sugars",0,"%"
"458","DL-methionine","Mineral_percentage",21.4,"%"
"459","DL-methionine","Phosp_percentage",0,"%"
"460","monosodium-phosphate-anhydrous","Dry matter",99.9,"%"
"461","monosodium-phosphate-anhydrous","Crude protein",0,"%"
